geo_type,region,transportation_type,alternative_name,sub.region,country,date,relative_mobility
city,Madison,driving,NA,Wisconsin,United States,2020-01-13,100
city,Madison,driving,NA,Wisconsin,United States,2020-01-14,107.57
city,Madison,driving,NA,Wisconsin,United States,2020-01-15,106.09
city,Madison,driving,NA,Wisconsin,United States,2020-01-16,110.95
city,Madison,driving,NA,Wisconsin,United States,2020-01-17,129.62
city,Madison,driving,NA,Wisconsin,United States,2020-01-18,110.58
city,Madison,driving,NA,Wisconsin,United States,2020-01-19,104.24
city,Madison,driving,NA,Wisconsin,United States,2020-01-20,114.2
city,Madison,driving,NA,Wisconsin,United States,2020-01-21,120.07
city,Madison,driving,NA,Wisconsin,United States,2020-01-22,117.36
city,Madison,driving,NA,Wisconsin,United States,2020-01-23,120.24
city,Madison,driving,NA,Wisconsin,United States,2020-01-24,134.42
city,Madison,driving,NA,Wisconsin,United States,2020-01-25,127.17
city,Madison,driving,NA,Wisconsin,United States,2020-01-26,95.29
city,Madison,driving,NA,Wisconsin,United States,2020-01-27,105.22
city,Madison,driving,NA,Wisconsin,United States,2020-01-28,110.35
city,Madison,driving,NA,Wisconsin,United States,2020-01-29,108.64
city,Madison,driving,NA,Wisconsin,United States,2020-01-30,115.94
city,Madison,driving,NA,Wisconsin,United States,2020-01-31,138.48
city,Madison,driving,NA,Wisconsin,United States,2020-02-01,138.52
city,Madison,driving,NA,Wisconsin,United States,2020-02-02,95.71
city,Madison,driving,NA,Wisconsin,United States,2020-02-03,101.86
city,Madison,driving,NA,Wisconsin,United States,2020-02-04,105.34
city,Madison,driving,NA,Wisconsin,United States,2020-02-05,109.08
city,Madison,driving,NA,Wisconsin,United States,2020-02-06,115.87
city,Madison,driving,NA,Wisconsin,United States,2020-02-07,135.37
city,Madison,driving,NA,Wisconsin,United States,2020-02-08,137.32
city,Madison,driving,NA,Wisconsin,United States,2020-02-09,86.38
city,Madison,driving,NA,Wisconsin,United States,2020-02-10,108.67
city,Madison,driving,NA,Wisconsin,United States,2020-02-11,111.82
city,Madison,driving,NA,Wisconsin,United States,2020-02-12,115.06
city,Madison,driving,NA,Wisconsin,United States,2020-02-13,126.47
city,Madison,driving,NA,Wisconsin,United States,2020-02-14,150.18
city,Madison,driving,NA,Wisconsin,United States,2020-02-15,147.69
city,Madison,driving,NA,Wisconsin,United States,2020-02-16,112.61
city,Madison,driving,NA,Wisconsin,United States,2020-02-17,108.92
city,Madison,driving,NA,Wisconsin,United States,2020-02-18,118.63
city,Madison,driving,NA,Wisconsin,United States,2020-02-19,113.66
city,Madison,driving,NA,Wisconsin,United States,2020-02-20,119.46
city,Madison,driving,NA,Wisconsin,United States,2020-02-21,149.62
city,Madison,driving,NA,Wisconsin,United States,2020-02-22,150.89
city,Madison,driving,NA,Wisconsin,United States,2020-02-23,114.36
city,Madison,driving,NA,Wisconsin,United States,2020-02-24,106.12
city,Madison,driving,NA,Wisconsin,United States,2020-02-25,108.65
city,Madison,driving,NA,Wisconsin,United States,2020-02-26,110.93
city,Madison,driving,NA,Wisconsin,United States,2020-02-27,128.61
city,Madison,driving,NA,Wisconsin,United States,2020-02-28,161.07
city,Madison,driving,NA,Wisconsin,United States,2020-02-29,159.47
city,Madison,driving,NA,Wisconsin,United States,2020-03-01,117.41
city,Madison,driving,NA,Wisconsin,United States,2020-03-02,109.57
city,Madison,driving,NA,Wisconsin,United States,2020-03-03,116.55
city,Madison,driving,NA,Wisconsin,United States,2020-03-04,118.99
city,Madison,driving,NA,Wisconsin,United States,2020-03-05,125.68
city,Madison,driving,NA,Wisconsin,United States,2020-03-06,158.63
city,Madison,driving,NA,Wisconsin,United States,2020-03-07,157.22
city,Madison,driving,NA,Wisconsin,United States,2020-03-08,116.11
city,Madison,driving,NA,Wisconsin,United States,2020-03-09,110.57
city,Madison,driving,NA,Wisconsin,United States,2020-03-10,116.27
city,Madison,driving,NA,Wisconsin,United States,2020-03-11,117.72
city,Madison,driving,NA,Wisconsin,United States,2020-03-12,114.5
city,Madison,driving,NA,Wisconsin,United States,2020-03-13,124.13
city,Madison,driving,NA,Wisconsin,United States,2020-03-14,93.29
city,Madison,driving,NA,Wisconsin,United States,2020-03-15,66.52
city,Madison,driving,NA,Wisconsin,United States,2020-03-16,71.46
city,Madison,driving,NA,Wisconsin,United States,2020-03-17,67.87
city,Madison,driving,NA,Wisconsin,United States,2020-03-18,58.44
city,Madison,driving,NA,Wisconsin,United States,2020-03-19,59.01
city,Madison,driving,NA,Wisconsin,United States,2020-03-20,66.5
city,Madison,driving,NA,Wisconsin,United States,2020-03-21,57.63
city,Madison,driving,NA,Wisconsin,United States,2020-03-22,46.31
city,Madison,driving,NA,Wisconsin,United States,2020-03-23,56.74
city,Madison,driving,NA,Wisconsin,United States,2020-03-24,51.32
city,Madison,driving,NA,Wisconsin,United States,2020-03-25,48.33
city,Madison,driving,NA,Wisconsin,United States,2020-03-26,47.83
city,Madison,driving,NA,Wisconsin,United States,2020-03-27,54.99
city,Madison,driving,NA,Wisconsin,United States,2020-03-28,43.27
city,Madison,driving,NA,Wisconsin,United States,2020-03-29,39.02
city,Madison,driving,NA,Wisconsin,United States,2020-03-30,53.78
city,Madison,driving,NA,Wisconsin,United States,2020-03-31,52.3
city,Madison,driving,NA,Wisconsin,United States,2020-04-01,56.82
city,Madison,driving,NA,Wisconsin,United States,2020-04-02,57.34
city,Madison,driving,NA,Wisconsin,United States,2020-04-03,62.8
city,Madison,driving,NA,Wisconsin,United States,2020-04-04,58.35
city,Madison,driving,NA,Wisconsin,United States,2020-04-05,51.57
city,Madison,driving,NA,Wisconsin,United States,2020-04-06,55.74
city,Madison,driving,NA,Wisconsin,United States,2020-04-07,61.72
city,Madison,driving,NA,Wisconsin,United States,2020-04-08,54.15
city,Madison,driving,NA,Wisconsin,United States,2020-04-09,58.73
city,Madison,driving,NA,Wisconsin,United States,2020-04-10,68.6
city,Madison,driving,NA,Wisconsin,United States,2020-04-11,57.57
city,Madison,driving,NA,Wisconsin,United States,2020-04-12,38.16
city,Madison,driving,NA,Wisconsin,United States,2020-04-13,55.48
city,Madison,driving,NA,Wisconsin,United States,2020-04-14,57.76
city,Madison,driving,NA,Wisconsin,United States,2020-04-15,62.72
city,Madison,driving,NA,Wisconsin,United States,2020-04-16,65.06
city,Madison,driving,NA,Wisconsin,United States,2020-04-17,71.76
city,Madison,driving,NA,Wisconsin,United States,2020-04-18,70.74
city,Madison,driving,NA,Wisconsin,United States,2020-04-19,58.37
city,Madison,driving,NA,Wisconsin,United States,2020-04-20,66.79
city,Madison,driving,NA,Wisconsin,United States,2020-04-21,67.95
city,Madison,driving,NA,Wisconsin,United States,2020-04-22,67.69
city,Madison,driving,NA,Wisconsin,United States,2020-04-23,69.24
city,Madison,driving,NA,Wisconsin,United States,2020-04-24,80.7
city,Madison,driving,NA,Wisconsin,United States,2020-04-25,71.67
city,Madison,driving,NA,Wisconsin,United States,2020-04-26,65.39
city,Madison,driving,NA,Wisconsin,United States,2020-04-27,65.28
city,Madison,driving,NA,Wisconsin,United States,2020-04-28,68.32
city,Madison,driving,NA,Wisconsin,United States,2020-04-29,67.61
city,Madison,driving,NA,Wisconsin,United States,2020-04-30,79.9
city,Madison,driving,NA,Wisconsin,United States,2020-05-01,91.6
city,Madison,driving,NA,Wisconsin,United States,2020-05-02,85.52
city,Madison,driving,NA,Wisconsin,United States,2020-05-03,71.84
city,Madison,driving,NA,Wisconsin,United States,2020-05-04,76.14
city,Madison,driving,NA,Wisconsin,United States,2020-05-05,76.57
city,Madison,driving,NA,Wisconsin,United States,2020-05-06,83.46
city,Madison,driving,NA,Wisconsin,United States,2020-05-07,87.05
city,Madison,driving,NA,Wisconsin,United States,2020-05-08,97.84
city,Madison,driving,NA,Wisconsin,United States,2020-05-09,91.56
city,Madison,driving,NA,Wisconsin,United States,2020-05-10,63.84
city,Madison,driving,NA,Wisconsin,United States,2020-05-11,NA
city,Madison,driving,NA,Wisconsin,United States,2020-05-12,NA
city,Madison,driving,NA,Wisconsin,United States,2020-05-13,90.97
city,Madison,driving,NA,Wisconsin,United States,2020-05-14,89.68
city,Madison,driving,NA,Wisconsin,United States,2020-05-15,114.64
city,Madison,driving,NA,Wisconsin,United States,2020-05-16,102.98
city,Madison,driving,NA,Wisconsin,United States,2020-05-17,72.87
city,Madison,driving,NA,Wisconsin,United States,2020-05-18,90.55
city,Madison,driving,NA,Wisconsin,United States,2020-05-19,97.78
city,Madison,driving,NA,Wisconsin,United States,2020-05-20,108.6
city,Madison,driving,NA,Wisconsin,United States,2020-05-21,109.06
